,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%
0,2021-11-04 19:00:00,8.0,4.0,Przejściowe zachmurzenie,SSW,18,20.0,50.0,0.0,73.0
1,2021-11-04 20:00:00,7.0,3.0,Zachmurzenie umiarkowane,SSW,17,18.0,36.0,0.0,78.0
2,2021-11-04 21:00:00,6.0,1.0,Zachmurzenie małe,SSW,17,18.0,19.0,0.0,78.0
3,2021-11-04 22:00:00,6.0,1.0,Bezchmurnie,SSW,18,22.0,3.0,0.0,73.0
4,2021-11-04 23:00:00,5.0,0.0,Bezchmurnie,SW,20,24.0,3.0,0.0,71.0
5,2021-11-05 00:00:00,5.0,0.0,Bezchmurnie,SW,18,26.0,4.0,0.0,70.0
6,2021-11-05 01:00:00,5.0,0.0,Bezchmurnie,SW,18,26.0,4.0,0.0,70.0
7,2021-11-05 02:00:00,4.0,-1.0,Bezchmurnie,SW,18,26.0,6.0,0.0,69.0
8,2021-11-05 03:00:00,4.0,-1.0,Bezchmurnie,SW,18,26.0,8.0,0.0,69.0
9,2021-11-05 04:00:00,4.0,-1.0,Zachmurzenie małe,SW,18,26.0,10.0,0.0,70.0
10,2021-11-05 05:00:00,4.0,-1.0,Zachmurzenie małe,SW,18,26.0,17.0,0.0,70.0
11,2021-11-05 06:00:00,4.0,-1.0,Zachmurzenie małe,SW,17,24.0,25.0,0.0,70.0
12,2021-11-05 07:00:00,4.0,-1.0,Pochmurno,SW,17,22.0,95.0,0.0,69.0
13,2021-11-05 08:00:00,5.0,1.0,Pochmurno,SW,15,20.0,95.0,0.0,67.0
14,2021-11-05 09:00:00,6.0,3.0,Pochmurno,SW,15,20.0,95.0,0.0,63.0
15,2021-11-05 10:00:00,8.0,5.0,Pochmurno,SW,15,20.0,95.0,0.0,59.0
16,2021-11-05 11:00:00,9.0,6.0,Pochmurno,WSW,15,20.0,95.0,0.0,55.0
17,2021-11-05 12:00:00,10.0,8.0,Pochmurno,WSW,13,18.0,95.0,0.0,52.0
18,2021-11-05 13:00:00,10.0,9.0,Przejściowe zachmurzenie,WSW,13,18.0,70.0,0.0,52.0
19,2021-11-05 14:00:00,11.0,10.0,Przejściowe zachmurzenie,WSW,11,17.0,70.0,0.0,48.0
20,2021-11-05 15:00:00,10.0,10.0,Przejściowe zachmurzenie,WSW,9,15.0,70.0,0.0,51.0
21,2021-11-05 16:00:00,10.0,9.0,Przejściowe zachmurzenie,W,7,11.0,70.0,0.0,53.0
