,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%,snow
0,2021-11-20 02:00:00,10.0,4.0,Przejściowe zachmurzenie,W,35,43.0,59.0,0.0,83.0,
1,2021-11-20 03:00:00,10.0,4.0,Przejściowe zachmurzenie,W,33,43.0,67.0,0.0,82.0,
2,2021-11-20 04:00:00,10.0,4.0,Zachmurzenie duże,W,32,43.0,76.0,0.0,81.0,
3,2021-11-20 05:00:00,10.0,4.0,Zachmurzenie duże,W,30,41.0,76.0,0.0,78.0,
4,2021-11-20 06:00:00,10.0,5.0,Zachmurzenie duże,WNW,26,37.0,83.0,0.0,76.0,
5,2021-11-20 07:00:00,9.0,5.0,Pochmurno,WNW,24,32.0,90.0,0.0,76.0,
6,2021-11-20 08:00:00,10.0,5.0,Pochmurno,W,24,30.0,90.0,0.0,77.0,
7,2021-11-20 09:00:00,10.0,5.0,Pochmurno,W,24,32.0,90.0,0.0,82.0,
8,2021-11-20 10:00:00,10.0,6.0,Pochmurno,W,24,32.0,90.0,0.0,84.0,
9,2021-11-20 11:00:00,10.0,4.0,Przelotne opady,W,26,33.0,90.0,0.5,84.0,
10,2021-11-20 12:00:00,10.0,6.0,Pochmurno,W,26,33.0,90.0,0.0,82.0,
11,2021-11-20 13:00:00,11.0,7.0,Pochmurno,W,26,33.0,90.0,0.0,78.0,
12,2021-11-20 14:00:00,10.0,6.0,Pochmurno,W,26,33.0,90.0,0.0,82.0,
13,2021-11-20 15:00:00,10.0,6.0,Pochmurno,W,24,33.0,90.0,0.0,85.0,
14,2021-11-20 16:00:00,10.0,5.0,Przelotne opady,WSW,24,32.0,90.0,0.5,87.0,
15,2021-11-20 17:00:00,10.0,6.0,Pochmurno,WSW,22,32.0,90.0,0.0,91.0,
16,2021-11-20 18:00:00,10.0,5.0,Pochmurno,WSW,22,30.0,90.0,0.0,89.0,
17,2021-11-20 19:00:00,10.0,5.0,Pochmurno,WSW,22,30.0,100.0,0.0,88.0,
18,2021-11-20 20:00:00,9.0,5.0,Pochmurno,WSW,22,30.0,99.0,0.0,86.0,
19,2021-11-20 21:00:00,9.0,4.0,Pochmurno,W,24,32.0,99.0,0.0,85.0,
20,2021-11-20 22:00:00,9.0,4.0,Pochmurno,W,24,32.0,99.0,0.0,85.0,
21,2021-11-20 23:00:00,9.0,4.0,Pochmurno,W,24,32.0,99.0,0.0,85.0,
22,2021-11-21 00:00:00,9.0,4.0,Pochmurno,WSW,22,30.0,99.0,0.0,85.0,
23,2021-11-21 01:00:00,9.0,4.0,Pochmurno,WSW,20,28.0,100.0,0.0,84.0,
24,2021-11-21 02:00:00,9.0,4.0,Pochmurno,WSW,20,28.0,100.0,0.0,83.0,
25,2021-11-21 03:00:00,9.0,4.0,Pochmurno,WSW,20,28.0,100.0,0.0,81.0,
26,2021-11-21 04:00:00,9.0,4.0,Pochmurno,WSW,20,26.0,100.0,0.0,79.0,
