,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%
0,2021-11-05 01:00:00,6.0,1.0,Zachmurzenie umiarkowane,WSW,22,26.0,32.0,0.0,76.0
1,2021-11-05 02:00:00,6.0,0.0,Zachmurzenie małe,WSW,22,24.0,23.0,0.0,74.0
2,2021-11-05 03:00:00,5.0,0.0,Zachmurzenie małe,WSW,20,20.0,12.0,0.0,76.0
3,2021-11-05 04:00:00,5.0,0.0,Bezchmurnie,WSW,18,22.0,,,
4,2021-11-05 05:00:00,4.0,0.0,Bezchmurnie,WSW,15,20.0,2.0,0.0,79.0
5,2021-11-05 06:00:00,4.0,0.0,Bezchmurnie,WSW,15,20.0,4.0,0.0,82.0
6,2021-11-05 07:00:00,4.0,-1.0,Pochmurno,WSW,18,20.0,95.0,0.0,80.0
7,2021-11-05 08:00:00,6.0,2.0,Pochmurno,WSW,17,22.0,95.0,0.0,77.0
8,2021-11-05 09:00:00,7.0,3.0,Pochmurno,WSW,18,24.0,95.0,0.0,75.0
9,2021-11-05 10:00:00,8.0,4.0,Pochmurno,WSW,22,26.0,95.0,0.0,69.0
10,2021-11-05 11:00:00,9.0,5.0,Pochmurno,W,24,26.0,95.0,0.0,65.0
11,2021-11-05 12:00:00,10.0,6.0,Pochmurno,W,22,26.0,95.0,0.0,62.0
12,2021-11-05 13:00:00,10.0,7.0,Przejściowe zachmurzenie,W,20,26.0,70.0,0.0,57.0
13,2021-11-05 14:00:00,10.0,6.0,Przejściowe zachmurzenie,W,20,24.0,70.0,0.0,59.0
14,2021-11-05 15:00:00,10.0,7.0,Przejściowe zachmurzenie,W,17,20.0,70.0,0.0,60.0
15,2021-11-05 16:00:00,9.0,6.0,Przejściowe zachmurzenie,WSW,13,17.0,70.0,0.0,62.0
16,2021-11-05 17:00:00,8.0,6.0,Przejściowe zachmurzenie,WSW,9,13.0,70.0,0.0,70.0
17,2021-11-05 18:00:00,7.0,6.0,Przejściowe zachmurzenie,WSW,7,13.0,61.0,0.0,77.0
18,2021-11-05 19:00:00,6.0,6.0,Zachmurzenie umiarkowane,WSW,7,11.0,49.0,0.0,79.0
19,2021-11-05 20:00:00,6.0,5.0,Przejściowe zachmurzenie,WSW,7,11.0,60.0,0.0,81.0
20,2021-11-05 21:00:00,6.0,4.0,Przejściowe zachmurzenie,WSW,9,11.0,71.0,0.0,81.0
21,2021-11-05 22:00:00,5.0,4.0,Zachmurzenie duże,WSW,7,11.0,81.0,0.0,84.0
22,2021-11-05 23:00:00,4.0,3.0,Przejściowe zachmurzenie,WSW,7,11.0,67.0,0.0,85.0
23,2021-11-06 00:00:00,4.0,4.0,Przejściowe zachmurzenie,W,7,11.0,53.0,0.0,88.0
24,2021-11-06 01:00:00,4.0,3.0,Zachmurzenie umiarkowane,W,7,9.0,39.0,0.0,91.0
25,2021-11-06 02:00:00,2.0,1.0,Przejściowe zachmurzenie,W,9,11.0,54.0,0.0,96.0
26,2021-11-06 03:00:00,4.0,2.0,Przejściowe zachmurzenie,W,9,9.0,68.0,0.0,91.0
27,2021-11-06 04:00:00,4.0,2.0,Zachmurzenie duże,W,7,11.0,83.0,0.0,92.0
28,2021-11-06 05:00:00,4.0,2.0,Zachmurzenie duże,WSW,9,11.0,89.0,0.0,89.0
29,2021-11-06 06:00:00,4.0,2.0,Pochmurno,W,9,11.0,94.0,0.0,90.0
30,2021-11-06 07:00:00,4.0,2.0,Przeważnie słonecznie,W,9,11.0,25.0,0.0,91.0
31,2021-11-06 08:00:00,5.0,3.0,Przeważnie słonecznie,W,11,13.0,25.0,0.0,88.0
32,2021-11-06 09:00:00,7.0,5.0,Przeważnie słonecznie,W,13,15.0,25.0,0.0,82.0
