,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%
0,2021-11-16 22:00:00,3.0,2.0,Pochmurno,SSE,7,7.0,95.0,0.0,100.0
1,2021-11-16 23:00:00,2.0,2.0,Pochmurno,SSE,7,9.0,95.0,0.0,100.0
2,2021-11-17 00:00:00,2.0,2.0,Pochmurno,SSE,7,9.0,95.0,0.0,100.0
3,2021-11-17 01:00:00,2.0,1.0,Pochmurno,SSE,7,9.0,99.0,0.0,100.0
4,2021-11-17 02:00:00,2.0,1.0,Pochmurno,S,7,9.0,99.0,0.0,100.0
5,2021-11-17 03:00:00,2.0,1.0,Pochmurno,S,7,11.0,99.0,0.0,100.0
6,2021-11-17 04:00:00,1.0,0.0,Pochmurno,S,7,11.0,100.0,0.0,100.0
7,2021-11-17 05:00:00,2.0,1.0,Pochmurno,S,7,11.0,100.0,0.0,100.0
8,2021-11-17 06:00:00,2.0,2.0,Pochmurno,S,7,11.0,100.0,0.0,100.0
9,2021-11-17 07:00:00,2.0,1.0,Przejściowe zachmurzenie,S,7,9.0,70.0,0.0,100.0
10,2021-11-17 08:00:00,2.0,1.0,Przejściowe zachmurzenie,S,9,11.0,70.0,0.0,100.0
11,2021-11-17 09:00:00,3.0,2.0,Przejściowe zachmurzenie,S,9,13.0,70.0,0.0,96.0
12,2021-11-17 10:00:00,4.0,3.0,Przejściowe zachmurzenie,S,11,13.0,70.0,0.0,90.0
13,2021-11-17 11:00:00,5.0,3.0,Przejściowe zachmurzenie,SSW,11,15.0,70.0,0.0,85.0
14,2021-11-17 12:00:00,6.0,4.0,Przejściowe zachmurzenie,SSW,13,17.0,70.0,0.0,83.0
15,2021-11-17 13:00:00,6.0,4.0,Przejściowe zachmurzenie,SSW,13,17.0,70.0,0.0,83.0
16,2021-11-17 14:00:00,7.0,4.0,Przejściowe zachmurzenie,SW,13,18.0,70.0,0.0,78.0
17,2021-11-17 15:00:00,6.0,3.0,Przejściowe zachmurzenie,SW,13,18.0,70.0,0.0,83.0
18,2021-11-17 16:00:00,5.0,2.0,Przejściowe zachmurzenie,SW,13,18.0,70.0,0.0,85.0
19,2021-11-17 17:00:00,5.0,1.0,Przejściowe zachmurzenie,SW,15,18.0,70.0,0.0,84.0
20,2021-11-17 18:00:00,5.0,1.0,Przejściowe zachmurzenie,SW,17,22.0,70.0,0.0,82.0
21,2021-11-17 19:00:00,5.0,0.0,Pochmurno,WSW,18,22.0,100.0,0.0,81.0
22,2021-11-17 20:00:00,5.0,0.0,Pochmurno,WSW,17,22.0,100.0,0.0,79.0
23,2021-11-17 21:00:00,4.0,0.0,Pochmurno,SW,17,22.0,100.0,0.0,78.0
24,2021-11-17 22:00:00,4.0,0.0,Pochmurno,SW,15,20.0,100.0,0.0,77.0
25,2021-11-17 23:00:00,4.0,-2.0,Przelotne opady,WSW,15,20.0,100.0,0.5,79.0
26,2021-11-18 00:00:00,4.0,0.0,Pochmurno,WSW,15,18.0,100.0,0.0,78.0
27,2021-11-18 01:00:00,4.0,1.0,Pochmurno,WSW,13,18.0,100.0,0.0,79.0
28,2021-11-18 02:00:00,4.0,1.0,Pochmurno,WSW,13,18.0,100.0,0.0,79.0
29,2021-11-18 03:00:00,5.0,1.0,Pochmurno,WSW,13,18.0,100.0,0.0,78.0
30,2021-11-18 04:00:00,5.0,2.0,Pochmurno,WSW,13,17.0,100.0,0.0,77.0
31,2021-11-18 05:00:00,5.0,2.0,Pochmurno,WSW,13,17.0,100.0,0.0,77.0
32,2021-11-18 06:00:00,5.0,1.0,Pochmurno,WSW,13,18.0,100.0,0.0,77.0
33,2021-11-18 07:00:00,4.0,0.0,Przelotne opady,WSW,13,18.0,94.0,1.0,77.0
34,2021-11-18 08:00:00,5.0,1.0,Pochmurno,WSW,15,20.0,94.0,0.0,77.0
35,2021-11-18 09:00:00,5.0,1.0,Pochmurno,WSW,17,20.0,94.0,0.0,75.0
36,2021-11-18 10:00:00,5.0,-1.0,Przelotne opady,WSW,17,22.0,94.0,1.0,73.0
37,2021-11-18 11:00:00,6.0,2.0,Zachmurzenie duże,WSW,17,22.0,76.0,0.0,69.0
38,2021-11-18 12:00:00,6.0,3.0,Zachmurzenie duże,WSW,17,22.0,76.0,0.0,72.0
39,2021-11-18 13:00:00,7.0,3.0,Zachmurzenie duże,WSW,17,22.0,76.0,0.0,70.0
40,2021-11-18 14:00:00,7.0,4.0,Zachmurzenie duże,W,17,22.0,76.0,0.0,70.0
41,2021-11-18 15:00:00,7.0,3.0,Zachmurzenie duże,W,17,22.0,76.0,0.0,76.0
