,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%
0,2021-11-17 04:00:00,4.0,3.0,Pochmurno,S,9,11.0,100.0,0.0,100.0
1,2021-11-17 05:00:00,4.0,3.0,Pochmurno,S,7,11.0,100.0,0.0,100.0
2,2021-11-17 06:00:00,4.0,4.0,Pochmurno,S,7,11.0,100.0,0.0,100.0
3,2021-11-17 07:00:00,4.0,4.0,Pochmurno,SSW,7,11.0,94.0,0.0,100.0
4,2021-11-17 08:00:00,4.0,3.0,Pochmurno,SSW,9,11.0,94.0,0.0,100.0
5,2021-11-17 09:00:00,5.0,3.0,Pochmurno,SSW,11,13.0,94.0,0.0,100.0
6,2021-11-17 10:00:00,6.0,2.0,Przelotne opady,SSW,13,17.0,94.0,0.5,94.0
7,2021-11-17 11:00:00,6.0,2.0,Pochmurno,SW,15,18.0,94.0,0.0,89.0
8,2021-11-17 12:00:00,6.0,2.0,Pochmurno,SW,17,22.0,94.0,0.0,83.0
9,2021-11-17 13:00:00,6.0,1.0,Pochmurno,SW,18,24.0,94.0,0.0,83.0
10,2021-11-17 14:00:00,6.0,1.0,Pochmurno,SW,18,26.0,94.0,0.0,81.0
11,2021-11-17 15:00:00,5.0,0.0,Pochmurno,SW,18,24.0,94.0,0.0,81.0
12,2021-11-17 16:00:00,5.0,-1.0,Deszcz,SW,17,24.0,94.0,0.4,81.0
13,2021-11-17 17:00:00,4.0,0.0,Pochmurno,SW,18,24.0,94.0,0.0,81.0
14,2021-11-17 18:00:00,5.0,-1.0,Deszcz,SW,18,24.0,94.0,0.4,82.0
15,2021-11-17 19:00:00,4.0,-1.0,Pochmurno,SW,20,26.0,99.0,0.0,84.0
16,2021-11-17 20:00:00,5.0,-2.0,Przelotne opady,WSW,20,26.0,97.0,1.3,84.0
17,2021-11-17 21:00:00,5.0,0.0,Pochmurno,WSW,20,28.0,95.0,0.0,87.0
18,2021-11-17 22:00:00,6.0,0.0,Pochmurno,WSW,22,28.0,95.0,0.0,90.0
19,2021-11-17 23:00:00,6.0,0.0,Pochmurno,WSW,20,28.0,95.0,0.0,90.0
20,2021-11-18 00:00:00,6.0,1.0,Pochmurno,WSW,20,28.0,95.0,0.0,86.0
21,2021-11-18 01:00:00,7.0,0.0,Przelotne opady,WSW,20,26.0,95.0,0.5,80.0
22,2021-11-18 02:00:00,6.0,2.0,Pochmurno,WSW,20,26.0,95.0,0.0,79.0
23,2021-11-18 03:00:00,6.0,1.0,Pochmurno,WSW,20,26.0,95.0,0.0,79.0
24,2021-11-18 04:00:00,6.0,1.0,Pochmurno,WSW,20,28.0,95.0,0.0,77.0
25,2021-11-18 05:00:00,6.0,1.0,Pochmurno,WSW,22,28.0,95.0,0.0,77.0
26,2021-11-18 06:00:00,6.0,1.0,Pochmurno,WSW,22,28.0,95.0,0.0,80.0
27,2021-11-18 07:00:00,6.0,-1.0,Deszcz,WSW,22,28.0,70.0,0.7,82.0
28,2021-11-18 08:00:00,6.0,-1.0,Deszcz,W,22,30.0,56.0,0.7,84.0
29,2021-11-18 09:00:00,7.0,2.0,Częściowo słonecznie,W,22,30.0,43.0,0.0,83.0
30,2021-11-18 10:00:00,7.0,3.0,Przeważnie słonecznie,W,22,30.0,29.0,0.0,81.0
31,2021-11-18 11:00:00,8.0,3.0,Przejściowe zachmurzenie,W,24,30.0,52.0,0.0,80.0
32,2021-11-18 12:00:00,8.0,2.0,Deszcz,W,24,32.0,74.0,0.7,79.0
33,2021-11-18 13:00:00,8.0,3.0,Pochmurno,W,24,32.0,96.0,0.0,81.0
34,2021-11-18 14:00:00,8.0,4.0,Pochmurno,W,22,30.0,97.0,0.0,83.0
35,2021-11-18 15:00:00,8.0,4.0,Pochmurno,W,22,30.0,98.0,0.0,85.0
36,2021-11-18 16:00:00,8.0,1.0,Deszcz,W,20,28.0,100.0,1.0,89.0
37,2021-11-18 17:00:00,7.0,1.0,Deszcz,WSW,18,26.0,100.0,1.0,89.0
38,2021-11-18 18:00:00,8.0,2.0,Deszcz,WSW,20,26.0,100.0,1.0,85.0
39,2021-11-18 19:00:00,8.0,2.0,Deszcz,WSW,20,26.0,100.0,2.3,89.0
40,2021-11-18 20:00:00,8.0,1.0,Deszcz,WSW,22,30.0,100.0,2.3,93.0
41,2021-11-18 21:00:00,9.0,2.0,Deszcz,WSW,26,35.0,100.0,2.3,91.0
42,2021-11-18 22:00:00,9.0,1.0,Deszcz,WSW,30,37.0,100.0,2.3,94.0
43,2021-11-18 23:00:00,9.0,1.0,Deszcz,WSW,30,39.0,100.0,2.3,96.0
44,2021-11-19 00:00:00,9.0,2.0,Deszcz,W,30,39.0,100.0,2.3,99.0
45,2021-11-19 01:00:00,9.0,4.0,Pochmurno,W,30,39.0,100.0,0.0,100.0
46,2021-11-19 02:00:00,10.0,4.0,Pochmurno,W,28,39.0,100.0,0.0,99.0
47,2021-11-19 03:00:00,10.0,4.0,Pochmurno,W,28,37.0,100.0,0.0,98.0
48,2021-11-19 04:00:00,10.0,5.0,Pochmurno,W,26,35.0,100.0,0.0,97.0
49,2021-11-19 05:00:00,10.0,3.0,Przelotne opady,WNW,24,33.0,100.0,0.6,94.0
50,2021-11-19 06:00:00,10.0,5.0,Pochmurno,WNW,24,32.0,100.0,0.0,94.0
51,2021-11-19 07:00:00,10.0,6.0,Pochmurno,WNW,22,32.0,90.0,0.0,94.0
52,2021-11-19 08:00:00,10.0,4.0,Przelotne opady,WNW,22,30.0,90.0,1.0,92.0
53,2021-11-19 09:00:00,11.0,6.0,Pochmurno,W,26,33.0,90.0,0.0,90.0
54,2021-11-19 10:00:00,11.0,6.0,Pochmurno,W,26,35.0,90.0,0.0,89.0
55,2021-11-19 11:00:00,11.0,6.0,Pochmurno,W,28,35.0,90.0,0.0,89.0
56,2021-11-19 12:00:00,11.0,6.0,Pochmurno,W,28,37.0,90.0,0.0,88.0
57,2021-11-19 13:00:00,11.0,7.0,Pochmurno,W,28,37.0,90.0,0.0,85.0
58,2021-11-19 14:00:00,11.0,5.0,Przelotne opady,W,28,37.0,90.0,0.5,89.0
59,2021-11-19 15:00:00,11.0,6.0,Pochmurno,W,28,37.0,90.0,0.0,90.0
60,2021-11-19 16:00:00,11.0,6.0,Pochmurno,W,28,37.0,90.0,0.0,90.0
61,2021-11-19 17:00:00,11.0,5.0,Pochmurno,W,28,37.0,90.0,0.0,90.0
62,2021-11-19 18:00:00,11.0,5.0,Pochmurno,W,30,39.0,90.0,0.0,91.0
63,2021-11-19 19:00:00,11.0,5.0,Pochmurno,W,32,41.0,100.0,0.0,90.0
64,2021-11-19 20:00:00,10.0,5.0,Pochmurno,W,32,41.0,100.0,0.0,89.0
65,2021-11-19 21:00:00,11.0,5.0,Pochmurno,W,33,43.0,100.0,0.0,90.0
66,2021-11-19 22:00:00,11.0,5.0,Pochmurno,W,33,43.0,100.0,0.0,89.0
67,2021-11-19 23:00:00,10.0,5.0,Pochmurno,W,33,44.0,100.0,0.0,88.0
68,2021-11-20 00:00:00,10.0,4.0,Pochmurno,W,35,44.0,99.0,0.0,88.0
69,2021-11-20 01:00:00,10.0,4.0,Pochmurno,W,35,44.0,99.0,0.0,88.0
70,2021-11-20 02:00:00,10.0,4.0,Pochmurno,W,35,44.0,98.0,0.0,89.0
71,2021-11-20 03:00:00,10.0,4.0,Pochmurno,WNW,32,44.0,97.0,0.0,91.0
72,2021-11-20 04:00:00,9.0,3.0,Pochmurno,WNW,32,41.0,96.0,0.0,92.0
73,2021-11-20 05:00:00,9.0,3.0,Pochmurno,WNW,30,39.0,97.0,0.0,90.0
74,2021-11-20 06:00:00,9.0,3.0,Pochmurno,WNW,28,37.0,98.0,0.0,86.0
75,2021-11-20 07:00:00,9.0,4.0,Pochmurno,WNW,26,35.0,90.0,0.0,83.0
76,2021-11-20 08:00:00,8.0,3.0,Pochmurno,WNW,24,33.0,90.0,0.0,84.0
77,2021-11-20 09:00:00,9.0,4.0,Pochmurno,WNW,22,32.0,90.0,0.0,79.0
78,2021-11-20 10:00:00,9.0,4.0,Przelotne opady,WNW,22,30.0,90.0,0.4,74.0
79,2021-11-20 11:00:00,10.0,4.0,Przelotne opady,W,24,32.0,90.0,0.4,67.0
80,2021-11-20 12:00:00,10.0,4.0,Przelotne opady,W,26,33.0,90.0,0.4,66.0
81,2021-11-20 13:00:00,9.0,4.0,Pochmurno,W,28,35.0,90.0,0.0,66.0
82,2021-11-20 14:00:00,10.0,2.0,Przelotne opady,W,28,37.0,90.0,1.2,71.0
83,2021-11-20 15:00:00,9.0,3.0,Pochmurno,W,30,37.0,90.0,0.0,76.0
84,2021-11-20 16:00:00,9.0,3.0,Pochmurno,W,30,37.0,90.0,0.0,80.0
85,2021-11-20 17:00:00,9.0,2.0,Przelotne opady,W,28,37.0,90.0,1.2,84.0
86,2021-11-20 18:00:00,9.0,2.0,Przelotne opady,W,28,37.0,90.0,1.2,88.0
87,2021-11-20 19:00:00,9.0,4.0,Pochmurno,W,28,37.0,100.0,0.0,89.0
88,2021-11-20 20:00:00,10.0,4.0,Pochmurno,W,28,37.0,100.0,0.0,88.0
89,2021-11-20 21:00:00,10.0,3.0,Przelotne opady,W,28,37.0,100.0,3.7,83.0
90,2021-11-20 22:00:00,10.0,2.0,Przelotne opady,W,28,37.0,100.0,3.7,84.0
91,2021-11-20 23:00:00,9.0,1.0,Przelotne opady,W,28,37.0,100.0,3.7,83.0
92,2021-11-21 00:00:00,9.0,4.0,Pochmurno,W,30,37.0,100.0,0.0,80.0
93,2021-11-21 01:00:00,9.0,1.0,Przelotne opady,W,30,37.0,100.0,0.7,80.0
94,2021-11-21 02:00:00,9.0,3.0,Pochmurno,W,28,37.0,90.0,0.0,82.0
95,2021-11-21 03:00:00,8.0,3.0,Zachmurzenie duże,W,22,35.0,81.0,0.0,81.0
