,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%
0,2021-11-15 07:00:00,3.0,0.0,Pochmurno,E,11,13.0,100.0,0.0,92.0
1,2021-11-15 08:00:00,4.0,0.0,Pochmurno,E,13,13.0,99.0,0.0,92.0
2,2021-11-15 09:00:00,4.0,1.0,Pochmurno,E,15,17.0,99.0,0.0,93.0
3,2021-11-15 10:00:00,5.0,1.0,Pochmurno,E,17,18.0,99.0,0.0,90.0
4,2021-11-15 11:00:00,6.0,2.0,Pochmurno,E,17,18.0,99.0,0.0,85.0
5,2021-11-15 12:00:00,6.0,2.0,Pochmurno,ESE,17,20.0,99.0,0.0,82.0
6,2021-11-15 13:00:00,6.0,2.0,Pochmurno,ESE,17,20.0,99.0,0.0,82.0
7,2021-11-15 14:00:00,7.0,4.0,Pochmurno,ESE,15,18.0,99.0,0.0,78.0
8,2021-11-15 15:00:00,6.0,2.0,Pochmurno,E,17,18.0,99.0,0.0,80.0
9,2021-11-15 16:00:00,5.0,2.0,Pochmurno,E,13,17.0,100.0,0.0,85.0
10,2021-11-15 17:00:00,5.0,2.0,Pochmurno,ESE,15,17.0,100.0,0.0,85.0
11,2021-11-15 18:00:00,5.0,1.0,Pochmurno,ESE,15,15.0,100.0,0.0,85.0
12,2021-11-15 19:00:00,5.0,1.0,Pochmurno,ESE,15,17.0,100.0,0.0,87.0
13,2021-11-15 20:00:00,4.0,1.0,Pochmurno,ESE,15,17.0,100.0,0.0,88.0
14,2021-11-15 21:00:00,5.0,1.0,Pochmurno,ESE,13,17.0,100.0,0.0,88.0
15,2021-11-15 22:00:00,5.0,1.0,Pochmurno,SE,13,17.0,100.0,0.0,90.0
16,2021-11-15 23:00:00,5.0,2.0,Pochmurno,SE,13,17.0,95.0,0.0,90.0
17,2021-11-16 00:00:00,4.0,2.0,Pochmurno,ESE,11,17.0,95.0,0.0,89.0
18,2021-11-16 01:00:00,4.0,2.0,Pochmurno,ESE,11,15.0,95.0,0.0,90.0
19,2021-11-16 02:00:00,4.0,2.0,Pochmurno,ESE,11,15.0,95.0,0.0,93.0
20,2021-11-16 03:00:00,4.0,2.0,Pochmurno,ESE,11,15.0,95.0,0.0,93.0
21,2021-11-16 04:00:00,4.0,2.0,Pochmurno,ESE,9,15.0,95.0,0.0,95.0
22,2021-11-16 05:00:00,3.0,2.0,Pochmurno,ESE,9,15.0,95.0,0.0,95.0
23,2021-11-16 06:00:00,3.0,2.0,Pochmurno,ESE,9,15.0,95.0,0.0,96.0
24,2021-11-16 07:00:00,2.0,1.0,Przeważnie słonecznie,SE,7,13.0,10.0,0.0,100.0
25,2021-11-16 08:00:00,3.0,1.0,Przeważnie słonecznie,SE,9,13.0,10.0,0.0,96.0
26,2021-11-16 09:00:00,4.0,3.0,Przeważnie słonecznie,SSE,11,15.0,10.0,0.0,93.0
27,2021-11-16 10:00:00,5.0,4.0,Przeważnie słonecznie,SSE,13,15.0,10.0,0.0,90.0
28,2021-11-16 11:00:00,6.0,5.0,Przeważnie słonecznie,SSE,13,15.0,10.0,0.0,83.0
29,2021-11-16 12:00:00,7.0,6.0,Przeważnie słonecznie,S,13,15.0,10.0,0.0,79.0
30,2021-11-16 13:00:00,8.0,7.0,Przeważnie słonecznie,S,13,15.0,10.0,0.0,77.0
31,2021-11-16 14:00:00,8.0,8.0,Przeważnie słonecznie,S,11,15.0,10.0,0.0,74.0
32,2021-11-16 15:00:00,7.0,6.0,Przeważnie słonecznie,S,9,15.0,10.0,0.0,78.0
33,2021-11-16 16:00:00,6.0,5.0,Bezchmurnie,S,9,13.0,9.0,0.0,84.0
34,2021-11-16 17:00:00,5.0,4.0,Bezchmurnie,S,9,13.0,6.0,0.0,89.0
35,2021-11-16 18:00:00,4.0,3.0,Bezchmurnie,S,9,11.0,3.0,0.0,91.0
36,2021-11-16 19:00:00,4.0,3.0,Bezchmurnie,S,7,11.0,,,
37,2021-11-16 20:00:00,3.0,2.0,Bezchmurnie,S,7,11.0,,,
38,2021-11-16 21:00:00,3.0,2.0,Bezchmurnie,S,7,11.0,,,
39,2021-11-16 22:00:00,2.0,2.0,Bezchmurnie,S,7,11.0,,,
40,2021-11-16 23:00:00,2.0,1.0,Bezchmurnie,S,7,11.0,6.0,0.0,98.0
41,2021-11-17 00:00:00,2.0,1.0,Zachmurzenie małe,S,7,11.0,12.0,0.0,98.0
42,2021-11-17 01:00:00,2.0,1.0,Zachmurzenie małe,S,7,9.0,18.0,0.0,98.0
43,2021-11-17 02:00:00,2.0,1.0,Zachmurzenie umiarkowane,S,7,9.0,45.0,0.0,97.0
44,2021-11-17 03:00:00,2.0,0.0,Przejściowe zachmurzenie,S,7,11.0,72.0,0.0,97.0
45,2021-11-17 04:00:00,2.0,0.0,Pochmurno,SSW,7,11.0,100.0,0.0,97.0
46,2021-11-17 05:00:00,1.0,0.0,Pochmurno,SSW,9,11.0,99.0,0.0,98.0
47,2021-11-17 06:00:00,2.0,0.0,Pochmurno,SSW,9,11.0,99.0,0.0,97.0
48,2021-11-17 07:00:00,2.0,0.0,Przejściowe zachmurzenie,SSW,9,13.0,70.0,0.0,95.0
49,2021-11-17 08:00:00,3.0,1.0,Przejściowe zachmurzenie,SSW,9,13.0,70.0,0.0,94.0
50,2021-11-17 09:00:00,4.0,2.0,Przejściowe zachmurzenie,SSW,11,15.0,70.0,0.0,90.0
51,2021-11-17 10:00:00,5.0,3.0,Przejściowe zachmurzenie,SSW,11,17.0,70.0,0.0,86.0
52,2021-11-17 11:00:00,6.0,4.0,Przejściowe zachmurzenie,SSW,13,18.0,70.0,0.0,81.0
53,2021-11-17 12:00:00,7.0,5.0,Przejściowe zachmurzenie,SSW,13,20.0,70.0,0.0,78.0
54,2021-11-17 13:00:00,8.0,6.0,Przejściowe zachmurzenie,SSW,15,20.0,70.0,0.0,74.0
55,2021-11-17 14:00:00,8.0,6.0,Przejściowe zachmurzenie,SSW,13,20.0,70.0,0.0,76.0
56,2021-11-17 15:00:00,7.0,5.0,Przejściowe zachmurzenie,SSW,13,18.0,70.0,0.0,80.0
57,2021-11-17 16:00:00,6.0,4.0,Przejściowe zachmurzenie,SSW,11,15.0,70.0,0.0,84.0
58,2021-11-17 17:00:00,6.0,3.0,Przejściowe zachmurzenie,SW,13,13.0,70.0,0.0,87.0
59,2021-11-17 18:00:00,6.0,3.0,Przejściowe zachmurzenie,SW,13,13.0,70.0,0.0,87.0
60,2021-11-17 19:00:00,5.0,2.0,Pochmurno,SW,13,15.0,100.0,0.0,88.0
61,2021-11-17 20:00:00,5.0,1.0,Przelotne opady,SW,13,15.0,100.0,0.2,89.0
62,2021-11-17 21:00:00,5.0,2.0,Pochmurno,SW,13,15.0,100.0,0.0,89.0
63,2021-11-17 22:00:00,5.0,1.0,Przelotne opady,SW,15,17.0,100.0,0.2,90.0
64,2021-11-17 23:00:00,5.0,2.0,Pochmurno,SW,15,17.0,100.0,0.0,89.0
65,2021-11-18 00:00:00,5.0,0.0,Przelotne opady,SW,15,18.0,100.0,0.2,90.0
66,2021-11-18 01:00:00,5.0,1.0,Pochmurno,SW,15,18.0,100.0,0.0,89.0
67,2021-11-18 02:00:00,5.0,1.0,Pochmurno,SW,15,20.0,100.0,0.0,88.0
68,2021-11-18 03:00:00,5.0,2.0,Pochmurno,SW,15,20.0,100.0,0.0,88.0
69,2021-11-18 04:00:00,5.0,2.0,Pochmurno,SW,15,22.0,100.0,0.0,89.0
70,2021-11-18 05:00:00,4.0,1.0,Pochmurno,SW,15,22.0,100.0,0.0,94.0
71,2021-11-18 06:00:00,5.0,1.0,Pochmurno,SW,15,22.0,100.0,0.0,90.0
72,2021-11-18 07:00:00,5.0,1.0,Pochmurno,WSW,15,24.0,100.0,0.0,90.0
73,2021-11-18 08:00:00,5.0,1.0,Pochmurno,WSW,17,24.0,99.0,0.0,90.0
74,2021-11-18 09:00:00,6.0,0.0,Przelotne opady,WSW,18,26.0,98.0,1.0,90.0
75,2021-11-18 10:00:00,6.0,2.0,Pochmurno,WSW,20,26.0,97.0,0.0,88.0
76,2021-11-18 11:00:00,7.0,2.0,Pochmurno,WSW,20,28.0,98.0,0.0,83.0
77,2021-11-18 12:00:00,7.0,2.0,Pochmurno,W,20,28.0,98.0,0.0,82.0
78,2021-11-18 13:00:00,8.0,1.0,Przelotne opady,W,22,28.0,99.0,0.5,79.0
79,2021-11-18 14:00:00,7.0,2.0,Zachmurzenie duże,W,20,28.0,81.0,0.0,80.0
80,2021-11-18 15:00:00,7.0,2.0,Przejściowe zachmurzenie,W,20,32.0,63.0,0.0,80.0
81,2021-11-18 16:00:00,6.0,2.0,Przejściowe zachmurzenie,W,18,32.0,70.0,0.0,81.0
82,2021-11-18 17:00:00,6.0,2.0,Zachmurzenie umiarkowane,W,18,32.0,47.0,0.0,82.0
83,2021-11-18 18:00:00,6.0,1.0,Zachmurzenie umiarkowane,W,18,30.0,48.0,0.0,83.0
84,2021-11-18 19:00:00,6.0,1.0,Przejściowe zachmurzenie,W,18,26.0,50.0,0.0,84.0
85,2021-11-18 20:00:00,6.0,1.0,Przejściowe zachmurzenie,W,18,26.0,66.0,0.0,86.0
86,2021-11-18 21:00:00,6.0,1.0,Zachmurzenie duże,W,18,26.0,83.0,0.0,86.0
87,2021-11-18 22:00:00,5.0,0.0,Pochmurno,W,18,26.0,100.0,0.0,90.0
88,2021-11-18 23:00:00,6.0,1.0,Pochmurno,W,18,26.0,100.0,0.0,87.0
89,2021-11-19 00:00:00,6.0,1.0,Pochmurno,W,18,24.0,100.0,0.0,87.0
90,2021-11-19 01:00:00,6.0,-1.0,Przelotne opady,W,18,24.0,100.0,1.1,87.0
91,2021-11-19 02:00:00,6.0,1.0,Pochmurno,W,18,22.0,96.0,0.0,88.0
92,2021-11-19 03:00:00,6.0,1.0,Pochmurno,W,18,22.0,92.0,0.0,88.0
93,2021-11-19 04:00:00,6.0,1.0,Zachmurzenie duże,W,18,20.0,89.0,0.0,89.0
94,2021-11-19 05:00:00,6.0,2.0,Pochmurno,W,18,20.0,92.0,0.0,90.0
95,2021-11-19 06:00:00,6.0,2.0,Pochmurno,W,18,22.0,96.0,0.0,89.0
96,2021-11-19 07:00:00,7.0,3.0,Pochmurno,W,17,22.0,100.0,0.0,87.0
97,2021-11-19 08:00:00,7.0,3.0,Pochmurno,WSW,18,24.0,100.0,0.0,88.0
98,2021-11-19 09:00:00,8.0,3.0,Pochmurno,WSW,20,26.0,100.0,0.0,89.0
99,2021-11-19 10:00:00,8.0,3.0,Pochmurno,WSW,22,28.0,100.0,0.0,90.0
100,2021-11-19 11:00:00,8.0,2.0,Przelotne opady,WSW,22,30.0,100.0,0.5,88.0
101,2021-11-19 12:00:00,8.0,4.0,Pochmurno,SW,22,30.0,100.0,0.0,87.0
102,2021-11-19 13:00:00,8.0,4.0,Pochmurno,SW,22,30.0,100.0,0.0,86.0
103,2021-11-19 14:00:00,8.0,4.0,Pochmurno,SW,22,30.0,100.0,0.0,86.0
104,2021-11-19 15:00:00,9.0,5.0,Pochmurno,WSW,20,30.0,100.0,0.0,81.0
105,2021-11-19 16:00:00,8.0,4.0,Pochmurno,WSW,20,28.0,100.0,0.0,88.0
106,2021-11-19 17:00:00,8.0,2.0,Przelotne opady,WSW,20,26.0,100.0,2.3,90.0
107,2021-11-19 18:00:00,7.0,1.0,Przelotne opady,WSW,20,22.0,100.0,2.3,94.0
108,2021-11-19 19:00:00,7.0,1.0,Deszcz,W,20,22.0,100.0,0.5,97.0
109,2021-11-19 20:00:00,7.0,2.0,Pochmurno,W,20,22.0,100.0,0.0,100.0
110,2021-11-19 21:00:00,7.0,2.0,Pochmurno,W,20,24.0,100.0,0.0,98.0
111,2021-11-19 22:00:00,7.0,2.0,Pochmurno,W,22,24.0,100.0,0.0,99.0
112,2021-11-19 23:00:00,8.0,1.0,Deszcz,W,22,24.0,100.0,0.5,98.0
113,2021-11-20 00:00:00,8.0,3.0,Pochmurno,W,22,24.0,100.0,0.0,98.0
114,2021-11-20 01:00:00,8.0,3.0,Pochmurno,W,22,30.0,100.0,0.0,98.0
115,2021-11-20 02:00:00,8.0,3.0,Pochmurno,W,22,32.0,100.0,0.0,96.0
116,2021-11-20 03:00:00,8.0,4.0,Pochmurno,W,20,32.0,100.0,0.0,94.0
117,2021-11-20 04:00:00,8.0,4.0,Pochmurno,W,20,32.0,100.0,0.0,93.0
118,2021-11-20 05:00:00,8.0,4.0,Pochmurno,W,20,32.0,100.0,0.0,93.0
119,2021-11-20 06:00:00,8.0,4.0,Pochmurno,W,20,32.0,100.0,0.0,94.0
