,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-05,9,9,4,230,69.6,0.01,1011.5
1,12600,"""Bielsko Biała""",2021-11-05,9,7.8,7,230,63.6,0.01,1019.7
2,12235,Chojnice,2021-11-05,9,7.3,5,270,93.9,7.7,1009.3
3,12550,Częstochowa,2021-11-05,8,5.8,3,190,72.6,0.3,1017.6
4,12160,Elbląg,2021-11-05,9,6.7,7,230,97.3,9.3,1005.5
5,12155,Gdańsk,2021-11-05,9,9,5,250,94.0,5.4,1005.1
6,12300,Gorzów,2021-11-05,9,7.9,4,280,90.1,26.6,1014.1
7,12135,Hel,2021-11-05,9,9.5,6,270,92.8,9.8,1004.6
8,12500,"""Jelenia Góra""",2021-11-05,9,7.5,5,280,72.9,2.6,1017.8
9,12435,Kalisz,2021-11-05,9,7.5,9,240,87.6,2.3,1015.3
10,12650,"""Kasprowy Wierch""",2021-11-05,9,-0.1,6,190,53.8,3.8,
11,12560,Katowice,2021-11-05,9,7.1,5,210,68.8,1.4,1019.4
12,12185,Kętrzyn,2021-11-05,9,8.1,9,230,78.9,0.5,1006.3
13,12570,Kielce,2021-11-05,9,8.4,4,230,66.6,0.1,1018
14,12520,Kłodzko,2021-11-05,9,7,6,250,74.9,0.6,1019.2
15,12345,Koło,2021-11-05,8,7.7,7,250,75.6,4.6,1012.5
16,12100,Kołobrzeg,2021-11-05,9,9.4,11,310,78.0,37.9,1010.7
17,12105,Koszalin,2021-11-05,9,7.9,5,300,87.0,20.5,1010
18,12488,Kozienice,2021-11-05,9,10.3,7,210,58.5,0.01,1015.9
19,12566,Kraków,2021-11-05,9,8.8,8,230,64.8,0,1019.2
20,12670,Krosno,2021-11-05,9,8,2,300,69.9,0.01,1019.2
21,12415,Legnica,2021-11-05,9,8.8,6,260,73.6,2.9,1017.2
22,12690,Lesko,2021-11-05,9,9.3,2,320,80.8,0.2,1018.6
23,12418,Leszno,2021-11-05,9,7.9,5,230,88.9,5.3,1015.8
24,12125,Lębork,2021-11-05,9,8.4,5,300,94.0,6.1,1006.7
25,12495,Lublin,2021-11-05,9,8.4,5,250,65.6,0.01,1016.8
26,12120,Łeba,2021-11-05,9,8.8,5,310,89.0,4.8,1006.7
27,12465,Łódź,2021-11-05,9,8.3,5,220,71.5,1.8,1015.3
28,12280,Mikołajki,2021-11-05,9,9.2,8,210,69.7,0.1,1007.6
29,12270,Mława,2021-11-05,9,8,10,230,75.6,1.5,1010.4
30,12660,"""Nowy Sącz""",2021-11-05,9,9.1,2,190,61.7,0,1019.3
31,12272,Olsztyn,2021-11-05,9,6.9,6,210,92.6,2.5,1007.5
32,12530,Opole,2021-11-05,9,10.3,4,230,60.6,3.2,1018
33,12285,Ostrołęka,2021-11-05,8,9.3,8,220,66.3,0,1009.8
34,12230,Piła,2021-11-05,9,7.5,3,250,95.9,16.5,1011.7
35,12001,Platforma,2021-11-05,9,6.9,17,320,87.6,0,1003.7
36,12360,Płock,2021-11-05,9,8.2,10,250,72.5,1.4,1012.2
37,12330,Poznań,2021-11-05,9,7.3,6,250,92.0,10.3,1014.1
38,12695,Przemyśl,2021-11-05,9,9.6,1,99,74.8,0.2,1018.6
39,12540,Racibórz,2021-11-05,9,7.5,5,200,71.9,0.6,1019.5
40,12210,Resko,2021-11-05,9,8,6,270,85.8,41.5,1011.6
41,12580,Rzeszów,2021-11-05,9,10.1,5,230,56.8,2.6,1018.7
42,12585,Sandomierz,2021-11-05,9,9.1,3,230,63.5,0.5,1017.9
43,12385,Siedlce,2021-11-05,9,9.2,6,230,63.5,0.01,1014.2
44,12310,Słubice,2021-11-05,9,7.7,3,270,90.1,29.4,1015.7
45,12469,Sulejów,2021-11-05,8,7.1,6,210,73.9,1.9,1015.5
46,12195,Suwałki,2021-11-05,9,8.9,7,220,66.7,0.01,1007.2
47,12205,Szczecin,2021-11-05,9,8.7,3,260,81.8,35.8,1013.3
48,12215,Szczecinek,2021-11-05,9,7.2,4,99,99.3,5.5,1010.3
49,12510,Śnieżka,2021-11-05,9,-2.5,14,250,100.0,23.9,
50,12200,Świnoujście,2021-11-05,9,8.5,4,270,83.5,50.4,1012.6
51,12575,Tarnów,2021-11-05,9,9.5,2,270,54.6,0.01,1018.8
52,12399,Terespol,2021-11-05,9,10,5,220,62.8,0.1,1015.3
53,12250,Toruń,2021-11-05,9,8.2,6,220,81.8,4.9,1011
54,12115,Ustka,2021-11-05,9,9,13,320,83.6,11.4,1008.3
55,12375,Warszawa,2021-11-05,9,9.6,4,220,63.6,0.01,1013.9
56,12455,Wieluń,2021-11-05,9,8.2,4,240,71.5,1.7,1016.8
57,12497,Włodawa,2021-11-05,9,9.3,6,240,65.8,0.01,1016.4
58,12424,Wrocław,2021-11-05,9,9.3,4,270,72.7,0.9,1017
59,12625,Zakopane,2021-11-05,9,5.7,2,210,60.9,3,
60,12595,Zamość,2021-11-05,9,7.9,5,250,68.9,0.3,1018.2
61,12400,"""Zielona Góra""",2021-11-05,9,6.8,5,260,92.0,14,1016.1
