,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%,snow
0,2021-11-23 07:00:00,0.0,-4.0,Zachmurzenie duże,W,13,18.0,76.0,0.0,76.0,
1,2021-11-23 08:00:00,0.0,-4.0,Zachmurzenie duże,WSW,15,20.0,76.0,0.0,77.0,
2,2021-11-23 09:00:00,0.0,-5.0,Zachmurzenie duże,WSW,17,22.0,76.0,0.0,77.0,
3,2021-11-23 10:00:00,1.0,-4.0,Zachmurzenie duże,WSW,17,24.0,76.0,0.0,75.0,
4,2021-11-23 11:00:00,2.0,-3.0,Zachmurzenie duże,W,18,24.0,76.0,0.0,75.0,
5,2021-11-23 12:00:00,3.0,-2.0,Zachmurzenie duże,W,17,22.0,76.0,0.0,77.0,
6,2021-11-23 13:00:00,3.0,-3.0,Przelotne opady,W,17,22.0,76.0,0.5,80.0,
7,2021-11-23 14:00:00,3.0,0.0,Zachmurzenie duże,W,15,20.0,76.0,0.0,81.0,
8,2021-11-23 15:00:00,4.0,0.0,Zachmurzenie duże,W,15,20.0,76.0,0.0,80.0,
9,2021-11-23 16:00:00,4.0,1.0,Zachmurzenie duże,W,13,18.0,76.0,0.0,83.0,
10,2021-11-23 17:00:00,4.0,1.0,Zachmurzenie duże,W,13,17.0,76.0,0.0,84.0,
11,2021-11-23 18:00:00,4.0,1.0,Zachmurzenie duże,W,11,17.0,76.0,0.0,86.0,
12,2021-11-23 19:00:00,4.0,2.0,Pochmurno,W,11,15.0,94.0,0.0,88.0,
13,2021-11-23 20:00:00,4.0,0.0,Przelotne opady,W,11,15.0,94.0,0.5,88.0,
14,2021-11-23 21:00:00,4.0,0.0,Przelotne opady,WSW,11,15.0,94.0,0.5,89.0,
15,2021-11-23 22:00:00,5.0,2.0,Pochmurno,WSW,11,15.0,94.0,0.0,86.0,
16,2021-11-23 23:00:00,5.0,2.0,Pochmurno,WSW,11,15.0,94.0,0.0,84.0,
17,2021-11-24 00:00:00,5.0,2.0,Pochmurno,WSW,11,15.0,94.0,0.0,81.0,
18,2021-11-24 01:00:00,5.0,2.0,Pochmurno,WSW,11,15.0,94.0,0.0,79.0,
19,2021-11-24 02:00:00,4.0,2.0,Pochmurno,WSW,11,15.0,94.0,0.0,79.0,
20,2021-11-24 03:00:00,4.0,0.0,Przelotne opady,WSW,11,15.0,94.0,1.0,77.0,
21,2021-11-24 04:00:00,4.0,2.0,Pochmurno,WSW,11,15.0,94.0,0.0,76.0,
22,2021-11-24 05:00:00,4.0,2.0,Pochmurno,WSW,11,15.0,94.0,0.0,75.0,
23,2021-11-24 06:00:00,4.0,0.0,Przelotne opady,SW,11,17.0,94.0,1.0,74.0,
24,2021-11-24 07:00:00,4.0,1.0,Pochmurno,SW,13,17.0,94.0,0.0,76.0,
25,2021-11-24 08:00:00,4.0,-1.0,Przelotne opady,WSW,13,17.0,94.0,0.5,79.0,
26,2021-11-24 09:00:00,4.0,1.0,Pochmurno,WSW,13,18.0,94.0,0.0,81.0,
27,2021-11-24 10:00:00,5.0,0.0,Przelotne opady,W,15,18.0,94.0,0.5,81.0,
28,2021-11-24 11:00:00,6.0,2.0,Pochmurno,W,17,20.0,94.0,0.0,80.0,
29,2021-11-24 12:00:00,6.0,2.0,Pochmurno,W,17,20.0,94.0,0.0,78.0,
30,2021-11-24 13:00:00,6.0,3.0,Pochmurno,W,15,20.0,94.0,0.0,80.0,
31,2021-11-24 14:00:00,6.0,3.0,Pochmurno,W,15,20.0,94.0,0.0,78.0,
32,2021-11-24 15:00:00,6.0,2.0,Przelotne opady,W,13,18.0,93.0,0.3,84.0,
33,2021-11-24 16:00:00,5.0,2.0,Pochmurno,W,11,17.0,90.0,0.0,91.0,
34,2021-11-24 17:00:00,4.0,2.0,Pochmurno,WSW,9,15.0,93.0,0.0,95.0,
35,2021-11-24 18:00:00,4.0,1.0,Przelotne opady,WSW,9,13.0,94.0,0.3,96.0,
36,2021-11-24 19:00:00,4.0,2.0,Pochmurno,SW,9,13.0,100.0,0.0,98.0,
37,2021-11-24 20:00:00,3.0,3.0,Pochmurno,SW,7,11.0,97.0,0.0,98.0,
38,2021-11-24 21:00:00,3.0,2.0,Pochmurno,SW,7,11.0,94.0,0.0,98.0,
39,2021-11-24 22:00:00,3.0,2.0,Pochmurno,SSW,7,9.0,91.0,0.0,96.0,
40,2021-11-24 23:00:00,2.0,2.0,Pochmurno,S,7,11.0,90.0,0.0,94.0,
41,2021-11-25 00:00:00,2.0,1.0,Zachmurzenie duże,S,7,11.0,88.0,0.0,92.0,
42,2021-11-25 01:00:00,2.0,1.0,Zachmurzenie duże,S,7,11.0,87.0,0.0,91.0,
43,2021-11-25 02:00:00,1.0,0.0,Zachmurzenie duże,SSE,7,11.0,75.0,0.0,92.0,
44,2021-11-25 03:00:00,0.0,-1.0,Przejściowe zachmurzenie,SSE,9,11.0,63.0,0.0,95.0,
45,2021-11-25 04:00:00,0.0,-2.0,Przejściowe zachmurzenie,SSE,9,11.0,51.0,0.0,97.0,
46,2021-11-25 05:00:00,0.0,-2.0,Zachmurzenie umiarkowane,SSE,9,13.0,43.0,0.0,97.0,
47,2021-11-25 06:00:00,-1.0,-3.0,Zachmurzenie umiarkowane,SSE,9,13.0,35.0,0.0,96.0,
48,2021-11-25 07:00:00,-1.0,-4.0,Pochmurno,SSE,9,13.0,95.0,0.0,96.0,
49,2021-11-25 08:00:00,-1.0,-4.0,Pochmurno,S,11,15.0,95.0,0.0,95.0,
50,2021-11-25 09:00:00,0.0,-3.0,Pochmurno,S,11,15.0,95.0,0.0,91.0,
51,2021-11-25 10:00:00,1.0,-2.0,Pochmurno,S,13,17.0,95.0,0.0,85.0,
52,2021-11-25 11:00:00,2.0,0.0,Pochmurno,SSW,13,18.0,95.0,0.0,77.0,
53,2021-11-25 12:00:00,4.0,0.0,Pochmurno,SSW,15,20.0,95.0,0.0,71.0,
54,2021-11-25 13:00:00,4.0,0.0,Pochmurno,SSW,17,22.0,95.0,0.0,70.0,
55,2021-11-25 14:00:00,5.0,0.0,Pochmurno,SSW,17,22.0,95.0,0.0,69.0,
56,2021-11-25 15:00:00,4.0,-1.0,Pochmurno,SW,17,22.0,95.0,0.0,80.0,
57,2021-11-25 16:00:00,3.0,-2.0,Pochmurno,SW,17,22.0,99.0,0.0,94.0,
58,2021-11-25 17:00:00,2.0,-2.0,Pochmurno,SW,15,22.0,99.0,0.0,93.0,
59,2021-11-25 18:00:00,2.0,-2.0,Pochmurno,SW,13,20.0,99.0,0.0,91.0,
60,2021-11-25 19:00:00,2.0,-2.0,Pochmurno,SW,11,17.0,99.0,0.0,89.0,
61,2021-11-25 20:00:00,1.0,-2.0,Zachmurzenie duże,SW,11,15.0,83.0,0.0,89.0,
62,2021-11-25 21:00:00,0.0,-3.0,Przejściowe zachmurzenie,SW,13,17.0,66.0,0.0,90.0,
63,2021-11-25 22:00:00,0.0,-3.0,Przejściowe zachmurzenie,SW,13,17.0,50.0,0.0,89.0,
64,2021-11-25 23:00:00,0.0,-3.0,Przejściowe zachmurzenie,WSW,11,17.0,66.0,0.0,91.0,
65,2021-11-26 00:00:00,-1.0,-3.0,Zachmurzenie duże,WSW,11,15.0,82.0,0.0,90.0,
66,2021-11-26 01:00:00,-1.0,-3.0,Pochmurno,WSW,9,13.0,99.0,0.0,92.0,
67,2021-11-26 02:00:00,-1.0,-3.0,Pochmurno,WSW,9,13.0,98.0,0.0,92.0,
68,2021-11-26 03:00:00,-1.0,-3.0,Pochmurno,WSW,9,13.0,97.0,0.0,92.0,
69,2021-11-26 04:00:00,-1.0,-2.0,Pochmurno,SW,9,13.0,96.0,0.0,95.0,
70,2021-11-26 05:00:00,-1.0,-2.0,Pochmurno,SW,7,11.0,96.0,0.0,97.0,
71,2021-11-26 06:00:00,-1.0,-2.0,Pochmurno,SW,7,11.0,97.0,0.0,100.0,
72,2021-11-26 07:00:00,-1.0,-1.0,Pochmurno,SSW,7,9.0,97.0,0.0,99.0,
73,2021-11-26 08:00:00,0.0,-1.0,Pochmurno,SSW,7,9.0,95.0,0.0,97.0,
74,2021-11-26 09:00:00,0.0,1.0,Pochmurno,S,7,9.0,95.0,0.0,93.0,
75,2021-11-26 10:00:00,1.0,2.0,Pochmurno,S,6,9.0,95.0,0.0,88.0,
76,2021-11-26 11:00:00,2.0,4.0,Pochmurno,SSE,6,7.0,95.0,0.0,83.0,
77,2021-11-26 12:00:00,2.0,4.0,Pochmurno,ENE,6,7.0,95.0,0.0,80.0,
78,2021-11-26 13:00:00,3.0,4.0,Pochmurno,NNE,6,7.0,100.0,0.0,79.0,
79,2021-11-26 14:00:00,4.0,3.0,Pochmurno,NE,7,11.0,100.0,0.0,75.0,
80,2021-11-26 15:00:00,3.0,1.0,Pochmurno,ENE,11,15.0,100.0,0.0,79.0,
81,2021-11-26 16:00:00,2.0,-2.0,Przelotne opady,ENE,13,17.0,100.0,0.5,82.0,
82,2021-11-26 17:00:00,2.0,-1.0,Pochmurno,ENE,13,17.0,100.0,0.0,85.0,
83,2021-11-26 18:00:00,2.0,-4.0,Przelotne opady,NE,15,18.0,100.0,0.5,89.0,
84,2021-11-26 19:00:00,2.0,-2.0,Pochmurno,NE,15,18.0,100.0,0.0,90.0,
85,2021-11-26 20:00:00,2.0,-2.0,Pochmurno,NE,13,18.0,100.0,0.0,91.0,
86,2021-11-26 21:00:00,1.0,-2.0,Pochmurno,NE,11,17.0,100.0,0.0,92.0,
87,2021-11-26 22:00:00,1.0,-1.0,Pochmurno,NE,9,15.0,100.0,0.0,92.0,
88,2021-11-26 23:00:00,1.0,-2.0,Pochmurno,NNE,9,13.0,100.0,0.0,93.0,
89,2021-11-27 00:00:00,1.0,-2.0,Pochmurno,W,11,15.0,100.0,0.0,97.0,
90,2021-11-27 01:00:00,0.0,-4.0,Deszcz,WSW,11,15.0,100.0,0.8,99.0,
91,2021-11-27 02:00:00,0.0,-5.0,Deszcz,WSW,11,15.0,100.0,0.8,99.0,
92,2021-11-27 03:00:00,0.0,-4.0,Pochmurno,WSW,13,17.0,100.0,0.0,100.0,
93,2021-11-27 04:00:00,0.0,-4.0,Pochmurno,WSW,13,17.0,100.0,0.0,100.0,
